Metric,Value
route__wirelength__iter:15,1853052
route__drc_errors__iter:16,1
route__wirelength__iter:16,1853057
route__drc_errors__iter:17,1
route__wirelength__iter:17,1853057
route__drc_errors__iter:18,1
route__wirelength__iter:18,1853057
route__drc_errors__iter:19,1
route__wirelength__iter:19,1853054
route__drc_errors__iter:20,1
route__wirelength__iter:20,1853053
route__drc_errors__iter:21,1
route__wirelength__iter:21,1853053
route__drc_errors__iter:22,1
route__wirelength__iter:22,1853053
route__drc_errors__iter:23,1
route__wirelength__iter:23,1853053
route__drc_errors__iter:24,1
route__wirelength__iter:24,1853053
route__drc_errors__iter:25,1
route__wirelength__iter:25,1853054
route__drc_errors__iter:26,1
route__wirelength__iter:26,1853054
route__drc_errors__iter:27,1
route__wirelength__iter:27,1853054
route__drc_errors__iter:28,1
route__wirelength__iter:28,1853053
route__drc_errors__iter:29,1
route__wirelength__iter:29,1853053
route__drc_errors__iter:30,1
route__wirelength__iter:30,1853053
route__drc_errors__iter:31,1
route__wirelength__iter:31,1853053
route__drc_errors__iter:32,1
route__wirelength__iter:32,1853054
route__drc_errors__iter:33,1
route__wirelength__iter:33,1853054
route__drc_errors__iter:34,1
route__wirelength__iter:34,1853054
route__drc_errors__iter:35,1
route__wirelength__iter:35,1853054
route__drc_errors__iter:36,1
route__wirelength__iter:36,1853053
route__drc_errors__iter:37,1
route__wirelength__iter:37,1853053
route__drc_errors__iter:38,1
route__wirelength__iter:38,1853053
route__drc_errors__iter:39,1
route__wirelength__iter:39,1853053
route__drc_errors__iter:40,1
route__wirelength__iter:40,1853053
route__drc_errors__iter:41,1
route__wirelength__iter:41,1853053
route__drc_errors__iter:42,1
route__wirelength__iter:42,1853053
route__drc_errors__iter:43,0
route__wirelength__iter:43,1853122
route__drc_errors,0
route__wirelength,1853122
route__vias,314794
route__vias__singlecut,314794
route__vias__multicut,0
design__disconnected_pin__count,27
design__critical_disconnected_pin__count,0
route__wirelength__max,3572.05
timing__unannotated_net__count__corner:nom_tt_025C_1v80,447
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,447
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,447
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,1405
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2847
design__max_cap_violation__count__corner:min_tt_025C_1v80,188
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.49915506474321264
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.4871849728200743
timing__hold__ws__corner:min_tt_025C_1v80,0.3022355784523024
timing__setup__ws__corner:min_tt_025C_1v80,11.550105199185674
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.302236
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,24.104984
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,447
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,4966
design__max_fanout_violation__count__corner:min_ss_100C_1v60,2847
design__max_cap_violation__count__corner:min_ss_100C_1v60,197
